ticker,sector,is_it,year,period,entry_date,surprise_pct,q,f_vol15x,f_rs,f_52w,f_nearearn,atr_pct,flat8_stop_pct,flat8_pos_dollar,flat8_ret_pct,flat8_ret_dollar,flat8_exit,flat8_hold,flat10_stop_pct,flat10_pos_dollar,flat10_ret_pct,flat10_ret_dollar,flat10_exit,flat10_hold,flat12_stop_pct,flat12_pos_dollar,flat12_ret_pct,flat12_ret_dollar,flat12_exit,flat12_hold,atr15_stop_pct,atr15_pos_dollar,atr15_ret_pct,atr15_ret_dollar,atr15_exit,atr15_hold,atr20_stop_pct,atr20_pos_dollar,atr20_ret_pct,atr20_ret_dollar,atr20_exit,atr20_hold
ABBV,Health Care,False,2024,IS (2022-2024),2024-11-01,2.82,3,True,True,True,True,1.884,8.0,11000.0,-14.6499,-1611.49,hard_stop,10,10.0,11000.0,-14.6499,-1611.49,hard_stop,10,12.0,11000.0,-14.6499,-1611.49,hard_stop,10,8.0,10000.0,-14.6499,-1464.99,hard_stop,10,8.0,10000.0,-14.6499,-1464.99,hard_stop,10
ABBV,Health Care,False,2025,OOS (2025),2025-02-04,1.92,2,True,True,False,True,2.611,8.0,11000.0,12.6495,1391.45,time,42,10.0,11000.0,12.6495,1391.45,time,42,12.0,11000.0,12.6495,1391.45,time,42,8.0,10000.0,12.6495,1264.95,time,42,8.0,10000.0,12.6495,1264.95,time,42
ABBV,Health Care,False,2025,OOS (2025),2025-04-29,2.62,1,False,True,False,True,4.074,8.0,11000.0,-1.6044,-176.49,time,42,10.0,11000.0,-1.6044,-176.49,time,42,12.0,11000.0,-1.6044,-176.49,time,42,8.0,10000.0,-1.6044,-160.44,time,42,8.148,9818.75,-1.6044,-157.54,time,42
ABBV,Health Care,False,2025,OOS (2025),2025-08-04,2.14,2,True,True,False,True,2.501,8.0,11000.0,11.1358,1224.94,time,42,10.0,11000.0,11.1358,1224.94,time,42,12.0,11000.0,11.1358,1224.94,time,42,8.0,10000.0,11.1358,1113.58,time,42,8.0,10000.0,11.1358,1113.58,time,42
ABBV,Health Care,False,2025,OOS (2025),2025-11-04,4.23,2,True,False,True,True,1.969,8.0,11000.0,6.8806,756.87,time,42,10.0,11000.0,6.8806,756.87,time,42,12.0,11000.0,6.8806,756.87,time,42,8.0,10000.0,6.8806,688.06,time,42,8.0,10000.0,6.8806,688.06,time,42
ACN,Information Technology,True,2022,IS (2022-2024),2022-03-21,7.35,2,True,True,False,True,3.174,8.0,11000.0,-5.524,-607.64,time,42,10.0,11000.0,-5.524,-607.64,time,42,12.0,11000.0,-5.524,-607.64,time,42,8.0,10000.0,-5.524,-552.4,time,42,8.0,10000.0,-5.524,-552.4,time,42
ACN,Information Technology,True,2022,IS (2022-2024),2022-06-27,2.31,1,False,True,False,True,3.121,8.0,11000.0,-8.0518,-885.7,hard_stop,14,10.0,11000.0,4.1794,459.73,time,42,12.0,11000.0,4.1794,459.73,time,42,8.0,10000.0,-8.0518,-805.18,hard_stop,14,8.0,10000.0,-8.0518,-805.18,hard_stop,14
ACN,Information Technology,True,2022,IS (2022-2024),2022-09-26,1.09,2,True,True,False,True,2.823,8.0,11000.0,3.3288,366.16,trail_stop,38,10.0,11000.0,3.3288,366.16,trail_stop,38,12.0,11000.0,3.3288,366.16,trail_stop,38,8.0,10000.0,3.3288,332.88,trail_stop,38,8.0,10000.0,3.3288,332.88,trail_stop,38
ACN,Information Technology,True,2022,IS (2022-2024),2022-12-20,5.3,1,True,False,False,True,3.733,8.0,11000.0,10.2831,1131.14,time,42,10.0,11000.0,10.2831,1131.14,time,42,12.0,11000.0,10.2831,1131.14,time,42,8.0,10000.0,10.2831,1028.31,time,42,8.0,10000.0,10.2831,1028.31,time,42
ACN,Information Technology,True,2023,IS (2022-2024),2023-06-26,5.08,1,False,False,True,True,2.455,8.0,11000.0,6.8871,757.58,time,42,10.0,11000.0,6.8871,757.58,time,42,12.0,11000.0,6.8871,757.58,time,42,8.0,10000.0,6.8871,688.71,time,42,8.0,10000.0,6.8871,688.71,time,42
