date,cash,mtm,equity,n_pos,invested_frac
2025-10-08,100126.54912389605,0.0,100126.54912389605,0,0.0
2025-10-09,100126.54912389605,0.0,100126.54912389605,0,0.0
2025-10-10,100126.54912389605,0.0,100126.54912389605,0,0.0
2025-10-13,100126.54912389605,0.0,100126.54912389605,0,0.0
2025-10-14,100126.54912389605,0.0,100126.54912389605,0,0.0
2025-10-15,100126.54912389605,0.0,100126.54912389605,0,0.0
2025-10-16,100126.54912389605,0.0,100126.54912389605,0,0.0
2025-10-17,100126.54912389605,0.0,100126.54912389605,0,0.0
2025-10-20,100126.54912389605,0.0,100126.54912389605,0,0.0
2025-10-21,100126.54912389605,0.0,100126.54912389605,0,0.0
2025-10-22,100126.54912389605,0.0,100126.54912389605,0,0.0
2025-10-23,100126.54912389605,0.0,100126.54912389605,0,0.0
2025-10-24,100126.54912389605,0.0,100126.54912389605,0,0.0
2025-10-27,100126.54912389605,0.0,100126.54912389605,0,0.0
2025-10-28,100126.54912389605,0.0,100126.54912389605,0,0.0
2025-10-29,100126.54912389605,0.0,100126.54912389605,0,0.0
2025-10-30,100126.54912389605,0.0,100126.54912389605,0,0.0
2025-10-31,100126.54912389605,0.0,100126.54912389605,0,0.0
2025-11-03,100126.54912389605,0.0,100126.54912389605,0,0.0
2025-11-04,100126.54912389605,0.0,100126.54912389605,0,0.0
2025-11-05,95183.3420849758,5076.291488647461,100259.63357362326,1,0.05063145862107912
2025-11-06,95183.3420849758,4951.886779785156,100135.22886476095,1,0.04945199442718603
2025-11-07,90202.53643643149,10221.736846923828,100424.27328335532,2,0.10178551970281488
2025-11-10,90202.53643643149,10561.483322143555,100764.01975857504,2,0.10481403329728486
2025-11-11,90202.53643643149,10477.033111572266,100679.56954800375,2,0.10406314964007513
2025-11-12,90202.53643643149,10331.906051635742,100534.44248806723,2,0.10276981496030149
2025-11-13,90202.53643643149,10116.621185302734,100319.15762173422,2,0.10084435939393256
2025-11-14,90202.53643643149,10089.964797973633,100292.50123440512,2,0.10060537601302033
2025-11-17,90202.53643643149,10101.945678710938,100304.48211514243,2,0.10071280431032605
2025-11-18,94988.62562228354,5149.536087036133,100138.16170931967,1,0.051424312161672876
2025-11-19,94988.62562228354,5120.827438354492,100109.45306063803,1,0.05115228664023085
2025-11-20,94988.62562228354,5090.278274536133,100078.90389681967,1,0.05086265013238112
2025-11-21,94988.62562228354,5270.9959716796875,100259.62159396322,1,0.05257346764210271
2025-11-24,94988.62562228354,5309.641708374023,100298.26733065756,1,0.05293851877689474
2025-11-25,94988.62562228354,5431.838363647461,100420.463985931,1,0.05409095066926266
2025-11-26,94988.62562228354,5423.741226196289,100412.36684847983,1,0.05401467365449718
2025-11-28,94988.62562228354,5406.8101806640625,100395.4358029476,1,0.05385513930410489
2025-12-01,94988.62562228354,5418.649887084961,100407.2755093685,1,0.05396670569533952
2025-12-02,94988.62562228354,5419.759841918945,100408.38546420248,1,0.0539771635293468
2025-12-03,94988.62562228354,5479.329864501953,100467.95548678549,1,0.05453808468534673
2025-12-04,100551.55712228354,0.0,100551.55712228354,0,0.0
2025-12-05,100551.55712228354,0.0,100551.55712228354,0,0.0
2025-12-08,100551.55712228354,0.0,100551.55712228354,0,0.0
2025-12-09,100551.55712228354,0.0,100551.55712228354,0,0.0
2025-12-10,100551.55712228354,0.0,100551.55712228354,0,0.0
2025-12-11,100551.55712228354,0.0,100551.55712228354,0,0.0
2025-12-12,100257.37960826072,0.0,100257.37960826072,0,0.0
