ticker,sector,earn_date,entry_date,entry_price,exit_date,exit_price,exit_reason,holding_days,return_pct,return_dollar,eps_reported,eps_estimate,surprise_pct,spy_bull_regime,year
AVB,Real Estate,2025-10-29,2025-10-31,170.798,2025-12-12,173.2961,time,42,1.46,160.88,2.68,1.37,96.18,True,2025
AVY,Materials,2025-07-22,2025-07-24,177.0474,2025-09-04,165.2992,time,42,-6.64,-729.92,2.42,2.39,1.07,True,2025
AXON,Industrials,2025-02-25,2025-02-27,575.0,2025-02-27,525.44,hard_stop,0,-8.62,-948.1,2.08,1.4,48.21,True,2025
AXON,Industrials,2025-05-07,2025-05-09,684.01,2025-06-20,777.32,time,42,13.64,1500.58,1.41,1.28,10.25,False,2025
AXON,Industrials,2025-08-04,2025-08-06,859.76,2025-08-12,768.57,hard_stop,6,-10.61,-1166.71,2.12,1.46,45.01,True,2025
BKR,Energy,2025-01-30,2025-02-03,45.6128,2025-03-04,41.869,hard_stop,29,-8.21,-902.85,0.7,0.63,11.85,True,2025
BKR,Energy,2025-07-22,2025-07-24,43.7056,2025-09-04,45.7746,time,42,4.73,520.75,0.63,0.55,13.61,True,2025
BKR,Energy,2025-10-23,2025-10-27,47.2175,2025-12-08,47.0546,time,42,-0.35,-37.95,0.68,0.62,9.29,True,2025
BALL,Materials,2025-02-04,2025-02-06,51.5439,2025-03-20,50.8238,time,42,-1.4,-153.69,0.84,0.81,3.72,True,2025
BAC,Financials,2025-01-16,2025-01-21,45.3085,2025-03-04,41.4697,time,42,-8.47,-932.0,0.82,0.77,6.84,True,2025
BAC,Financials,2025-04-15,2025-04-17,36.6849,2025-05-29,43.2668,time,42,17.94,1973.61,0.9,0.82,10.29,False,2025
BAC,Financials,2025-07-16,2025-07-18,46.2468,2025-08-29,49.9163,time,42,7.93,872.79,0.89,0.86,3.73,True,2025
BAC,Financials,2025-10-15,2025-10-17,50.4017,2025-11-28,53.0726,time,42,5.3,582.93,1.06,0.95,11.43,True,2025
BAX,Health Care,2025-02-20,2025-02-24,33.3991,2025-04-04,28.4021,hard_stop,39,-14.96,-1645.76,0.58,0.53,9.62,True,2025
BAX,Health Care,2025-05-01,2025-05-05,29.9115,2025-06-16,30.5741,time,42,2.22,243.66,0.55,0.48,13.82,False,2025
BDX,Health Care,2025-02-05,2025-02-07,175.2155,2025-03-21,176.8425,time,42,0.93,102.14,3.43,2.99,14.74,True,2025
BDX,Health Care,2025-05-01,2025-05-05,129.3655,2025-06-16,132.9895,time,42,2.8,308.15,3.35,3.28,2.12,False,2025
